crop,location,month,orders
Tomato,Coimbatore,1,120
Tomato,Coimbatore,2,130
Tomato,Coimbatore,3,145
Tomato,Coimbatore,4,160
Tomato,Coimbatore,5,175
Tomato,Coimbatore,6,190
Tomato,Coimbatore,7,220
Tomato,Coimbatore,8,210
Tomato,Coimbatore,9,180
Tomato,Coimbatore,10,165
Tomato,Coimbatore,11,150
Tomato,Coimbatore,12,140
Rice,Coimbatore,1,80
Rice,Coimbatore,6,110
Rice,Coimbatore,7,120
Rice,Coimbatore,12,95
Wheat,Coimbatore,1,60
Wheat,Coimbatore,6,85
Wheat,Coimbatore,7,90
Wheat,Coimbatore,12,70
